CPU Utilization: 3%
Cores used: 1
Cores available: 31
+============================================================+
Running processes:
Process_1314    (06/28/2025 11:09:51AM)    Core: 20    38/100

Finished processes:
Process_1100    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1101    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1103    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1102    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1104    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1105    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1106    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1107    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1108    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1110    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1109    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1111    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1112    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1113    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1114    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1116    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1115    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1117    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1118    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1119    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1120    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1121    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1122    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1123    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1124    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1125    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1127    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1126    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1128    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1129    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1130    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1131    (06/28/2025 11:09:43AM)    Finished    100/100
Process_1132    (06/28/2025 11:09:43AM)    Finished    100/100
